customer_id,age,tenure_months,monthly_charges,total_charges,usage_minutes,support_tickets,last_login_days,contract_type,payment_method,churn,avg_charge_per_month,engagement_score,support_rate,is_monthly_contract,high_value_customer
1,56,1,18.65,18.65,618,1,42,Month-to-Month,Debit Card,0,9.325,-0.03274352765878186,0.5,1,0
2,69,10,112.81,1128.1,663,2,48,Month-to-Month,Debit Card,1,102.55454545454545,-0.08498789346246982,0.18181818181818182,1,0
3,46,36,83.04,2989.44,586,1,58,One Year,Debit Card,0,80.79567567567568,-0.33909480350158316,0.02702702702702703,0,0
4,32,9,39.85,358.65,200,3,24,Month-to-Month,Net Banking,1,35.864999999999995,-0.1869994412367294,0.3,1,0
5,60,45,119.44,5374.8,514,1,30,Month-to-Month,Net Banking,1,116.84347826086957,0.05636058856397841,0.021739130434782608,1,1
6,25,46,38.53,1772.38,570,2,38,One Year,Credit Card,0,37.71021276595745,-0.017694170236543072,0.0425531914893617,0,0
7,38,42,46.49,1952.58,438,2,57,Month-to-Month,Debit Card,0,45.40883720930233,-0.4847830135965729,0.046511627906976744,1,0
8,56,32,22.95,734.4,522,2,58,Month-to-Month,Debit Card,1,22.254545454545454,-0.4094244738312536,0.06060606060606061,1,0
9,36,32,65.92,2109.44,438,2,2,Two Year,Credit Card,0,63.92242424242424,0.44742037623393555,0.06060606060606061,0,0
10,40,6,68.65,411.9,396,0,38,Month-to-Month,Net Banking,1,58.84285714285714,-0.20890296144533427,0.0,1,0
11,28,48,82.04,3937.92,681,0,37,Two Year,Net Banking,0,80.36571428571429,0.12123300428385175,0.0,0,0
12,28,38,109.25,4151.5,525,0,34,Month-to-Month,UPI,1,106.44871794871794,0.0006518904823988869,0.0,1,0
13,41,17,136.85,2326.45,367,0,7,One Year,Net Banking,0,129.2472222222222,0.2846526355000931,0.0,0,0
14,53,10,29.28,292.8,334,0,0,Month-to-Month,UPI,1,26.61818181818182,0.367032967032967,0.0,1,0
15,57,50,17.61,880.5,396,1,4,Month-to-Month,Credit Card,0,17.264705882352942,0.36736822499534366,0.0196078431372549,1,0
16,41,27,12.59,339.93,397,0,55,One Year,Net Banking,0,12.140357142857143,-0.49593965356677217,0.0,0,0
17,20,54,30.11,1625.94,517,0,50,Two Year,Credit Card,0,29.562545454545454,-0.2793257589867759,0.0,0,0
18,39,50,102.11,5105.5,558,0,26,Month-to-Month,UPI,1,100.1078431372549,0.17250884708511832,0.0,1,1
19,19,35,111.85,3914.75,558,1,44,One Year,Debit Card,0,108.74305555555556,-0.13257589867759356,0.027777777777777776,0,0
20,41,52,120.11,6245.72,409,1,25,Month-to-Month,Debit Card,0,117.84377358490566,0.02572173589122745,0.018867924528301886,1,1
21,61,59,44.12,2603.08,610,2,42,One Year,Credit Card,0,43.38466666666667,-0.04153473644999073,0.03333333333333333,0,0
22,47,21,52.83,1109.43,647,0,59,One Year,Debit Card,0,50.428636363636365,-0.289010989010989,0.0,0,0
23,55,25,77.64,1941.0,468,0,53,Month-to-Month,Credit Card,1,74.65384615384616,-0.3840193704600485,0.0,1,0
